Name,Type,State,City,Zip,Region,isPublic,Institution_Control,Photo,Rank,ACT_Average,Aid,Acceptance Rate,Tuition,GPA_Average,Engineering Reputation Score,Parent_Rank,Enrollment,Business Reputation Score,SAT,Cost After Aid,SAT_Range,ACT_Range,Blurb
Hanover College,national-liberal-arts-colleges,IN,Hanover,47243,N/A,True,private,https://www.usnews.com/dims4/USNEWS/10d4d9d/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F39%2F176832fc49685ba36b7fc7d3a9a634%2FAerial_photo.jpg,103,22,N/A,84,44288,3.8,2.0,N/A,962,N/A,1070,N/A,1070-1240,22-30,"Hanover College is a private institution that was founded in 1827. It has a total undergraduate enrollment of 962 (fall 2023), and the campus size is 640 acres. It utilizes a 4-4-1-based academic calendar. Hanover College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #103. Its tuition and fees are $44,288."
Harding University,national-universities,AR,Searcy,72149,N/A,True,private,https://www.usnews.com/dims4/USNEWS/7fdcb5b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F65%2F889803e32481ef361fca528d2ba977%2Fcollege-photo_22411.jpg,296,21,N/A,39,25962,3.7,2.1,N/A,3497,N/A,1050,N/A,1050-1280,21-28,"Harding University is a private institution that was founded in 1924. It has a total undergraduate enrollment of 3,497 (fall 2023), and the campus size is 350 acres. It utilizes a semester-based academic calendar. Harding University's ranking in the 2025 edition of Best Colleges is National Universities, #296. Its tuition and fees are $25,962."
Hardin-Simmons University,national-universities,TX,Abilene,79698,N/A,True,private,https://www.usnews.com/dims4/USNEWS/4ccabc0/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F8c%2Fe2dd74450f179236484ec5d937a53c%2Fcollege-photo_28721.jpg,-1,18,N/A,97,32960,3.6,N/A,N/A,1283,N/A,968,N/A,968-1190,18-24,"Hardin-Simmons University is a private institution that was founded in 1891. It has a total undergraduate enrollment of 1,283 (fall 2023), its setting is city, and the campus size is 220 acres. It utilizes a semester-based academic calendar. Hardin-Simmons University's ranking in the 2025 edition of Best Colleges is National Universities, #392-434. Its tuition and fees are $32,960."
Harrisburg University of Science and Technology,regional-universities-north,PA,Harrisburg,17101,north,True,private,N/A,-1,N/A,N/A,82,24400,N/A,N/A,N/A,718,N/A,N/A,N/A,N/A,N/A,"Harrisburg University of Science and Technology is a private institution that was founded in 2001.  It utilizes a semester-based academic calendar. Harrisburg University of Science and Technology's ranking in the 2025 edition of Best Colleges is Regional Universities North, #151-165. Its tuition and fees are $24,400."
Harris-Stowe State University,regional-colleges-midwest,MO,St. Louis,63103,midwest,True,public,N/A,67,N/A,N/A,63,N/A,3.2,N/A,N/A,1098,N/A,N/A,N/A,N/A,N/A,"Harris-Stowe State University is a public institution that was founded in 1857. It has a total undergraduate enrollment of 1,098 (fall 2023), its setting is city, and the campus size is 31 acres. It utilizes a semester-based academic calendar. Harris-Stowe State University's ranking in the 2025 edition of Best Colleges is Regional Colleges Midwest, #67. "
Hartwick College,national-liberal-arts-colleges,NY,Oneonta,13820,N/A,True,private,https://www.usnews.com/dims4/USNEWS/22a5ec4/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F4c%2Fb0754a83137aa0b844247cbf0d179b%2Fus_news_1.jpg,136,N/A,N/A,70,54962,3.5,N/A,N/A,1112,N/A,1080,N/A,1080-1290,N/A,"Hartwick College is a private institution that was founded in 1797. It has a total undergraduate enrollment of 1,112 (fall 2023), and the campus size is 475 acres.  Hartwick College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #136. Its tuition and fees are $54,962."
Harvard University,national-universities,MA,Cambridge,02138,N/A,True,private,https://www.usnews.com/dims4/USNEWS/378955f/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F65%2F09a2103d862fb8eb15a9a6542c080b%2Fcollege-photo_8866.jpg,3,34,54,3,61676,3.9,3.7,N/A,7110,N/A,1500,14634.0,1500-1580,34-36,"Harvard University is a private institution that was founded in 1636. It has a total undergraduate enrollment of 7,110 (fall 2023), and the campus size is 5,667 acres. It utilizes a semester-based academic calendar. Harvard University's ranking in the 2025 edition of Best Colleges is National Universities, #3. Its tuition and fees are $61,676."
Harvey Mudd College,national-liberal-arts-colleges,CA,Claremont,91711,N/A,True,private,https://www.usnews.com/dims4/USNEWS/48e431f/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ffe%2Fd66943c89ec6994273b681dec32549%2Fcollege-photo_1938.jpg,12,34,44,13,68613,N/A,4.4,N/A,915,N/A,1480,38348.0,1480-1560,34-36,"Harvey Mudd College is a private institution that was founded in 1955. It has a total undergraduate enrollment of 915 (fall 2023), and the campus size is 33 acres. It utilizes a semester-based academic calendar. Harvey Mudd College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #12. Its tuition and fees are $68,613."
Haskell Indian Nations University,tribal,KS,Lawrence,66046,N/A,True,public,N/A,-2,N/A,N/A,93,N/A,N/A,N/A,N/A,727,N/A,N/A,N/A,N/A,N/A,Haskell Indian Nations University is a public institution.    
Hastings College,regional-colleges-midwest,NE,Hastings,68901,midwest,True,private,https://www.usnews.com/dims4/USNEWS/44b169b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F1c%2F3be551b40e0f2028c2b99f7945ff71%2Fhastings-college-11029_28630365805_o.jpg,20,26,68,71,37770,N/A,N/A,N/A,919,N/A,N/A,29919.0,N/A,26-27,"Hastings College is a private institution that was founded in 1882. It has a total undergraduate enrollment of 919 (fall 2022), and the campus size is 120 acres.  Hastings College's ranking in the 2025 edition of Best Colleges is Regional Colleges Midwest, #20. Its tuition and fees are $37,770."
Haverford College,national-liberal-arts-colleges,PA,Haverford,19041,N/A,True,private,https://www.usnews.com/dims4/USNEWS/8ee248c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F1a%2Fc0da5c4761ddcd026dd802be1c8080%2FAerial_Horiz_5x7.jpg,24,33,44,13,70398,N/A,N/A,N/A,1424,N/A,1430,23388.0,1430-1540,33-35,"Haverford College is a private institution that was founded in 1833. It has a total undergraduate enrollment of 1,424 (fall 2023), its setting is suburban, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Haverford College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #24. Its tuition and fees are $70,398."
Hawaii Pacific University,regional-universities-west,HI,Honolulu,96813,west,True,private,https://www.usnews.com/dims4/USNEWS/cb64541/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F9b%2F9e2470f61e624510265d9964fe7db4%2Fcollege-photo_32576.jpg,76,21,N/A,84,34392,N/A,N/A,N/A,3814,N/A,1068,N/A,1068-1280,21-29,"Hawaii Pacific University is a private institution that was founded in 1965. It has a total undergraduate enrollment of 3,814 (fall 2023), and the campus size is 135 acres. It utilizes a semester-based academic calendar. Hawaii Pacific University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #76. Its tuition and fees are $34,392."
Hebrew Theological College,national-liberal-arts-colleges,IL,Skokie,60077,N/A,True,private,N/A,-1,N/A,N/A,71,N/A,N/A,N/A,N/A,160,N/A,N/A,N/A,N/A,N/A,"Hebrew Theological College is a private institution.   Hebrew Theological College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #187-204. "
Heidelberg University,regional-universities-midwest,OH,Tiffin,44883,midwest,True,private,https://www.usnews.com/dims4/USNEWS/8a4db67/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fea%2F10b4dd1cf24737ebde2e36fbb25fa9%2Fcollege-photo_16131.jpg,64,N/A,79,68,33650,N/A,N/A,N/A,884,N/A,N/A,24810.0,N/A,N/A,"Heidelberg University is a private institution that was founded in 1850. It has a total undergraduate enrollment of 884 (fall 2023), and the campus size is 115 acres. It utilizes a semester-based academic calendar. Heidelberg University's ranking in the 2025 edition of Best Colleges is Regional Universities Midwest, #64. Its tuition and fees are $33,650."
Helene Fuld College of Nursing,health,NY,New York,N/A,N/A,True,private,N/A,-2,N/A,N/A,12,N/A,N/A,N/A,N/A,544,N/A,N/A,N/A,N/A,N/A,Helene Fuld College of Nursing is a private institution.    
Hellenic College,national-liberal-arts-colleges,MA,Brookline,02445,N/A,True,private,N/A,-2,N/A,N/A,58,N/A,N/A,N/A,N/A,39,N/A,N/A,N/A,N/A,N/A,"Hellenic College is a private institution that was founded in 1937. It has a total undergraduate enrollment of 39 (fall 2022), and the campus size is 59 acres.   "
Henderson State University,regional-universities-south,AR,Arkadelphia,71999,south,True,public,https://www.usnews.com/dims4/USNEWS/384b67c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F74%2F40bafad0012ab2ca56235050deca32%2Fcollege-photo_9979.jpg,108,16,N/A,71,N/A,N/A,N/A,N/A,1807,< 2.0,903,N/A,903-1073,16-21,"Henderson State University is a public institution that was founded in 1890. It has a total undergraduate enrollment of 1,807 (fall 2022), and the campus size is 156 acres.  Henderson State University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #108. "
Hendrix College,national-liberal-arts-colleges,AR,Conway,72032,N/A,True,private,https://www.usnews.com/dims4/USNEWS/3c781d6/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F80%2F6ed331a224d6eed161928edbe8211e%2Fcollege-photo_35409.jpg,114,26,N/A,53,38200,3.8,N/A,N/A,1098,N/A,1200,N/A,1200-1370,26-31,"Hendrix College is a private institution that was founded in 1876. It has a total undergraduate enrollment of 1,098 (fall 2023), its setting is suburban, and the campus size is 175 acres. It utilizes a semester-based academic calendar. Hendrix College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #114. Its tuition and fees are $38,200."
Henry Ford College,regional-colleges-midwest,MI,Dearborn,48128,midwest,True,public,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11204,N/A,N/A,N/A,N/A,N/A,Henry Ford College is a public institution.    
Heritage University,regional-universities-west,WA,Toppenish,98948,west,True,private,N/A,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,796,N/A,N/A,N/A,N/A,N/A,"Heritage University is a private institution.   Heritage University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #52. "
Herzing University,regional-universities-midwest,WI,Madison,53718,midwest,True,private,https://www.usnews.com/dims4/USNEWS/9357c3a/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F12%2Fdc971f40484722515acb2b1624ff80%2Fcollege-photo_32785.jpg,-1,N/A,N/A,94,N/A,N/A,N/A,N/A,1803,N/A,N/A,N/A,N/A,N/A,"Herzing University is a private institution that was founded in 1965.   Herzing University's ranking in the 2025 edition of Best Colleges is Regional Universities Midwest, #149-164. "
Herzing University-Atlanta,regional-colleges-south,GA,Atlanta,N/A,south,True,private,N/A,-1,N/A,N/A,93,N/A,N/A,N/A,N/A,615,N/A,N/A,N/A,N/A,N/A,"Herzing University-Atlanta is a private institution.   Herzing University-Atlanta's ranking in the 2025 edition of Best Colleges is Regional Colleges South, #88-97. "
Herzing University-Brookfield,health,WI,Brookfield,N/A,N/A,True,private,N/A,-2,N/A,N/A,95,N/A,N/A,N/A,N/A,392,N/A,N/A,N/A,N/A,N/A,Herzing University-Brookfield is a private institution.    
Herzing University-Kenosha,health,WI,Kenosha,N/A,N/A,True,private,N/A,-2,N/A,N/A,93,N/A,N/A,N/A,N/A,627,N/A,N/A,N/A,N/A,N/A,Herzing University-Kenosha is a private institution.    
Herzing University--Minneapolis,health,MN,N/A,N/A,N/A,True,private,N/A,-2,N/A,N/A,94,N/A,N/A,N/A,N/A,808,N/A,N/A,N/A,N/A,N/A,Herzing University--Minneapolis is a private institution.    
Herzing University--Orlando,health,FL,Winter Park,N/A,N/A,True,private,N/A,-2,N/A,N/A,94,N/A,N/A,N/A,N/A,735,N/A,N/A,N/A,N/A,N/A,Herzing University--Orlando is a private institution.    
Hesston College,regional-colleges-midwest,KS,Hesston,67062,midwest,True,private,https://www.usnews.com/dims4/USNEWS/35504b2/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F69%2F6324f54e00d305524a2650b25a07e5%2F0B409D68C0E2BEB9A4568998262FB8A3-darker.jpg,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,325,N/A,N/A,N/A,N/A,N/A,"Hesston College is a private institution that was founded in 1909. It has a total undergraduate enrollment of 325 (fall 2022), and the campus size is 40 acres.   "
Highline College,regional-colleges-west,WA,Des Moines,98198,west,True,public,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4684,N/A,N/A,N/A,N/A,N/A,Highline College is a public institution.    
High Point University,regional-colleges-south,NC,High Point,27268,south,True,private,https://www.usnews.com/dims4/USNEWS/4d0a3ae/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fbe%2F44%2Fe7980e2041c7a519b2ee2fb05e02%2Fcustom-hero-image.png,1,23,N/A,77,46548,3.2,N/A,N/A,5006,N/A,1110,N/A,1110-1300,23-31,"High Point University is a private institution that was founded in 1924. It has a total undergraduate enrollment of 5,006 (fall 2023), its setting is suburban, and the campus size is 520 acres. It utilizes a semester-based academic calendar. High Point University's ranking in the 2025 edition of Best Colleges is Regional Colleges South, #1. Its tuition and fees are $46,548."
Hilbert College,regional-colleges-north,NY,Hamburg,14075,north,True,private,N/A,25,N/A,N/A,95,N/A,N/A,N/A,N/A,841,N/A,N/A,N/A,N/A,N/A,"Hilbert College is a private institution.   Hilbert College's ranking in the 2025 edition of Best Colleges is Regional Colleges North, #25. "
Hillsdale College,national-liberal-arts-colleges,MI,Hillsdale,49242,N/A,True,private,https://www.usnews.com/dims4/USNEWS/615710e/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F80%2F0c002b231d48c7022b40871dfa78b2%2Fcollege-photo_29948.jpg,50,30,43,21,33189,3.9,N/A,N/A,1688,N/A,1340,36347.0,1340-1510,30-33,"Hillsdale College is a private institution that was founded in 1844. It has a total undergraduate enrollment of 1,688 (fall 2023), its setting is rural, and the campus size is 400 acres. It utilizes a semester-based academic calendar. Hillsdale College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #50. Its tuition and fees are $33,189."
Hiram College,regional-colleges-midwest,OH,Hiram,44234,midwest,True,private,https://www.usnews.com/dims4/USNEWS/5d29916/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F41%2Fdb537d3cb0112fa40e7a7547714bb0%2Fcollege-photo_16823.jpg,9,17,82,93,27600,3.5,N/A,N/A,983,N/A,970,24953.0,970-1230,17-23,"Hiram College is a private institution that was founded in 1850. It has a total undergraduate enrollment of 983 (fall 2023), its setting is rural, and the campus size is 700 acres. It utilizes a semester-based academic calendar. Hiram College's ranking in the 2025 edition of Best Colleges is Regional Colleges Midwest, #9. Its tuition and fees are $27,600."
Hobart and William Smith Colleges,national-liberal-arts-colleges,NY,Geneva,14456,N/A,True,private,https://www.usnews.com/dims4/USNEWS/ee2c252/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F8b%2Fcc%2Fc342b73c46b985b332aa0974789c%2F190827hobart-and-william-smith-colleges11.jpeg,74,26,63,57,64842,3.9,N/A,N/A,1618,N/A,1220,31787.0,1220-1360,26-32,"Hobart and William Smith Colleges is a private institution that was founded in 1822. It has a total undergraduate enrollment of 1,618 (fall 2023), its setting is city, and the campus size is 170 acres. It utilizes a semester-based academic calendar. Hobart and William Smith Colleges' ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #74. Its tuition and fees are $64,842."
Hofstra University,national-universities,NY,Hempstead,11549,N/A,True,private,https://www.usnews.com/dims4/USNEWS/725b7eb/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F12%2F68%2Ff420895a4a28a09132e518bd042d%2Fgallery-photo-1.jpg,196,27,65,71,57660,3.8,3.3,N/A,6224,2.9,1210,47649.0,1210-1380,27-31,"Hofstra University is a private institution that was founded in 1935. It has a total undergraduate enrollment of 6,224 (fall 2023), its setting is suburban, and the campus size is 244 acres. It utilizes a semester-based academic calendar. Hofstra University's ranking in the 2025 edition of Best Colleges is National Universities, #196. Its tuition and fees are $57,660."
Hollins University,national-liberal-arts-colleges,VA,Roanoke,24020,N/A,True,private,https://www.usnews.com/dims4/USNEWS/4780a99/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F9a%2F95b292c7aa7db4ac4c7d7d75aa44e0%2Fcollege-photo_2079.jpg,136,25,N/A,72,43630,N/A,N/A,N/A,691,N/A,1113,N/A,1113-1298,25-30,"Hollins University is a private institution that was founded in 1842. It has a total undergraduate enrollment of 691 (fall 2022), and the campus size is 475 acres.  Hollins University's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #136. Its tuition and fees are $43,630."
Holy Apostles College and Seminary,regional-universities-north,CT,Cromwell,06416,north,True,private,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,271,N/A,N/A,N/A,N/A,N/A,"Holy Apostles College and Seminary is a private institution that was founded in 1956. It has a total undergraduate enrollment of 271 (fall 2022), and the campus size is 40 acres.   "
"Holy Cross College at Notre Dame, Indiana",national-liberal-arts-colleges,IN,Notre Dame,46556,N/A,True,private,https://www.usnews.com/dims4/USNEWS/503df13/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F77%2F20b3ce399dc90fbcef99719f33d4f4%2F2019_HCC_49.jpg,182,N/A,N/A,76,35500,N/A,N/A,N/A,434,N/A,1203,N/A,1203-1373,N/A,"Holy Cross College at Notre Dame, Indiana is a private institution that was founded in 1966. It has a total undergraduate enrollment of 434 (fall 2022), and the campus size is 150 acres.  Holy Cross College at Notre Dame, Indiana's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #182. Its tuition and fees are $35,500."
Holy Family University,regional-universities-north,PA,Philadelphia,19114,north,True,private,https://www.usnews.com/dims4/USNEWS/02f51b2/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fb6%2Fcce055c1a659788b2d092d8de9bf92%2Fcollege-photo_5355.jpg,111,N/A,N/A,74,35330,3.3,N/A,N/A,2452,N/A,950,N/A,950-1130,N/A,"Holy Family University is a private institution that was founded in 1954. It has a total undergraduate enrollment of 2,452 (fall 2023), its setting is urban, and the campus size is 47 acres. It utilizes a semester-based academic calendar. Holy Family University's ranking in the 2025 edition of Best Colleges is Regional Universities North, #111. Its tuition and fees are $35,330."
Hood College,regional-universities-north,MD,Frederick,21701,north,True,private,https://www.usnews.com/dims4/USNEWS/eeb3435/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fd7%2F3eb74f6a31359593e196ea0efb730e%2Fcollege-photo_19814.jpg,60,N/A,78,78,47700,3.4,N/A,N/A,1209,N/A,N/A,30237.0,N/A,N/A,"Hood College is a private institution that was founded in 1893. It has a total undergraduate enrollment of 1,209 (fall 2023), its setting is suburban, and the campus size is 50 acres. It utilizes a semester-based academic calendar. Hood College's ranking in the 2025 edition of Best Colleges is Regional Universities North, #60. Its tuition and fees are $47,700."
Hope College,national-liberal-arts-colleges,MI,Holland,49422,N/A,True,private,https://www.usnews.com/dims4/USNEWS/1159bf6/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F1f%2Fda31d782dc76caeaa70c8ba9d76e1d%2Fcollege-photo_33296.jpg,90,25,41,76,38530,3.8,2.7,N/A,3369,N/A,1090,23707.0,1090-1310,25-31,"Hope College is a private institution that was founded in 1866. It has a total undergraduate enrollment of 3,369 (fall 2023), its setting is city, and the campus size is 120 acres. It utilizes a semester-based academic calendar. Hope College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #90. Its tuition and fees are $38,530."
Hope International University,regional-universities-west,CA,Fullerton,92831,west,True,private,https://www.usnews.com/dims4/USNEWS/9a96373/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F20%2Fcffa6fc1f14764091edcda6571031e%2Fcollege-photo_16434.jpg,100,16,N/A,35,38050,3.4,N/A,N/A,550,N/A,950,N/A,950-1210,16-17,"Hope International University is a private institution that was founded in 1928. It has a total undergraduate enrollment of 550 (fall 2023), its setting is city, and the campus size is 11 acres. It utilizes a 4-1-4-based academic calendar. Hope International University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #100. Its tuition and fees are $38,050."
Houghton University,national-liberal-arts-colleges,NY,Houghton,14744,N/A,True,private,https://www.usnews.com/dims4/USNEWS/640ee31/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F4c%2Fa8c13a8e1b7480b1931d4bbfcecc55%2Fcollege-photo_13614.jpg,153,23,N/A,93,18430,3.6,N/A,N/A,870,N/A,1180,N/A,1180-1390,23-28,"Houghton University is a private institution that was founded in 1883. It has a total undergraduate enrollment of 870 (fall 2023), its setting is rural, and the campus size is 1,300 acres. It utilizes a semester-based academic calendar. Houghton University's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #153. Its tuition and fees are $18,430."
Houston Christian University,regional-universities-west,TX,Houston,77074,west,True,private,https://www.usnews.com/dims4/USNEWS/53a1dc5/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fa8%2Fb035a64879584088f582c5ae7fed28%2Fcollege-photo_5205.jpg,70,22,N/A,84,N/A,N/A,N/A,N/A,2823,N/A,1060,N/A,1060-1230,22-26,"Houston Christian University is a private institution that was founded in 1960. It has a total undergraduate enrollment of 2,823 (fall 2022), and the campus size is 100 acres.  Houston Christian University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #70. "
Howard Payne University,regional-colleges-west,TX,Brownwood,76801,west,True,private,https://www.usnews.com/dims4/USNEWS/ce6f6ea/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fdc%2F864a2e139afe879dfc95f538b94198%2Fcollege-photo_25386.jpg,25,18,N/A,68,35132,3.4,N/A,N/A,768,N/A,880,N/A,880-1100,18-25,"Howard Payne University is a private institution that was founded in 1889. It has a total undergraduate enrollment of 768 (fall 2023), its setting is rural, and the campus size is 80 acres. It utilizes a semester-based academic calendar. Howard Payne University's ranking in the 2025 edition of Best Colleges is Regional Colleges West, #25. Its tuition and fees are $35,132."
Howard University,national-universities,DC,Washington,20059,N/A,True,private,https://www.usnews.com/dims4/USNEWS/0b9549c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F82%2F7bbabaea5b47be61379d37af47e531%2FHowardUniversity-FoundersLibrary.jpg,86,22,64,35,35810,3.7,2.7,N/A,10190,3.2,1100,44055.0,1100-1298,22-28,"Howard University is a private institution that was founded in 1867. It has a total undergraduate enrollment of 10,190 (fall 2023), and the campus size is 257 acres. It utilizes a semester-based academic calendar. Howard University's ranking in the 2025 edition of Best Colleges is National Universities, #86. Its tuition and fees are $35,810."
Huertas College,health,PR,Caguas,N/A,N/A,True,proprietary,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,391,N/A,N/A,N/A,N/A,N/A,Huertas College is a for-profit institution.    
Hult International Business School,specialty-business,MA,Cambridge,02141,N/A,True,private,https://www.usnews.com/dims4/USNEWS/fd0da35/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F16%2F6d%2Fd279ae204b969c75533e6992c22d%2Fusnews-hero-1.jpg,-2,N/A,N/A,54,56200,N/A,N/A,N/A,1678,2.4,N/A,N/A,N/A,N/A,"Hult International Business School is a private institution that was founded in 1964. It has a total undergraduate enrollment of 1,678 (fall 2023), and the campus size is 1 acres. It utilizes a 5-term-based academic calendar.  Its tuition and fees are $56,200."
Humphreys University,regional-universities-west,CA,Stockton,95207,west,True,private,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,159,N/A,N/A,N/A,N/A,N/A,Humphreys University is a private institution.    
Huntingdon College,regional-colleges-south,AL,Montgomery,36106,south,True,private,https://www.usnews.com/dims4/USNEWS/54e8c78/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ffc%2F082ac5024d62420c5f98a98e985d88%2Fcollege-photo_12287.jpg,8,18,75,71,29070,N/A,N/A,N/A,866,N/A,1000,23564.0,1000-1180,18-24,"Huntingdon College is a private institution that was founded in 1854. It has a total undergraduate enrollment of 866 (fall 2023), its setting is suburban, and the campus size is 71 acres. It utilizes a semester-based academic calendar. Huntingdon College's ranking in the 2025 edition of Best Colleges is Regional Colleges South, #8. Its tuition and fees are $29,070."
Huntington University,regional-universities-midwest,IN,Huntington,46750,midwest,True,private,https://www.usnews.com/dims4/USNEWS/dd2724d/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F5a%2Fbe6ba80e0c8585640af1679f4833f5%2Fcollege-photo_27234.jpg,37,18,N/A,78,N/A,N/A,N/A,N/A,1229,N/A,970,N/A,970-1210,18-26,"Huntington University is a private institution that was founded in 1897. It has a total undergraduate enrollment of 1,229 (fall 2022), and the campus size is 170 acres.  Huntington University's ranking in the 2025 edition of Best Colleges is Regional Universities Midwest, #37. "
Husson University,national-universities,ME,Bangor,04401,N/A,True,private,https://www.usnews.com/dims4/USNEWS/62c3a7e/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F43%2F5d%2F773ec383427bbcb0818f3b19710e%2F1.+MIP+AERIAL+HUSSON+101221-3145+edited.jpg,342,N/A,N/A,86,24504,N/A,N/A,N/A,2526,N/A,1020,N/A,1020-1210,N/A,"Husson University is a private institution that was founded in 1898. It has a total undergraduate enrollment of 2,526 (fall 2023), and the campus size is 200 acres. It utilizes a semester-based academic calendar. Husson University's ranking in the 2025 edition of Best Colleges is National Universities, #342. Its tuition and fees are $24,504."
Huston-Tillotson University,regional-colleges-west,TX,Austin,78702,west,True,private,N/A,25,14,N/A,52,N/A,N/A,N/A,N/A,991,N/A,840,N/A,840-1000,14-20,"Huston-Tillotson University is a private institution.   Huston-Tillotson University's ranking in the 2025 edition of Best Colleges is Regional Colleges West, #25. "
Idaho State University,national-universities,ID,Pocatello,83209,N/A,True,public,N/A,-1,N/A,N/A,N/A,N/A,N/A,2.1,N/A,10017,2.5,N/A,N/A,N/A,N/A,"Idaho State University is a public institution.   Idaho State University's ranking in the 2025 edition of Best Colleges is National Universities, #392-434. "
Ilisagvik College,tribal,AK,Barrow,N/A,N/A,True,public,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,179,N/A,N/A,N/A,N/A,N/A,Ilisagvik College is a public institution.    
